epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.896,1.33541,1.90535,2.01641,1.28837,0.60067,0.51004,0.48775,0.17227,0.43309,0.37751,0.26318,0.05993,2.01269,1.72608,2.45676,1.97896,0.000663805,0.000663805,0.000663805
2,230.189,1.39655,1.69764,1.51454,1.30711,0.52419,0.53815,0.40054,0.16744,0.38625,0.38554,0.20286,0.04358,1.88145,1.56898,2.28585,1.70348,0.00130413,0.00130413,0.00130413
3,328.751,1.38854,1.69913,1.38862,1.31101,0.61569,0.59438,0.52146,0.23943,0.48364,0.46268,0.33638,0.09223,1.70487,1.38576,1.73319,1.54966,0.00191805,0.00191805,0.00191805
4,427.181,1.32367,1.70675,1.28794,1.26573,0.72836,0.5502,0.58954,0.29664,0.51639,0.50602,0.39115,0.10653,1.69924,1.38697,1.62121,1.54841,0.0018812,0.0018812,0.0018812
5,524.603,1.26495,1.64195,1.22839,1.24541,0.4824,0.56225,0.47308,0.20007,0.38674,0.43309,0.30481,0.07403,1.9366,1.50549,2.1355,1.82074,0.0018416,0.0018416,0.0018416
6,622.58,1.22275,1.64414,1.18796,1.22339,0.6017,0.67871,0.62021,0.30438,0.49223,0.55422,0.40736,0.11829,1.711,1.27425,1.58379,1.52377,0.001802,0.001802,0.001802
7,720.827,1.17782,1.62144,1.14313,1.19855,0.72432,0.6747,0.67459,0.38979,0.62746,0.57831,0.49121,0.14719,1.47364,1.5105,1.37731,1.38598,0.0017624,0.0017624,0.0017624
8,819.493,1.15769,1.60613,1.12183,1.20031,0.69654,0.67294,0.67969,0.39202,0.59484,0.58233,0.49858,0.14091,1.39689,1.31928,1.37976,1.31136,0.0017228,0.0017228,0.0017228
9,919.61,1.14569,1.57722,1.09696,1.19401,0.67881,0.64659,0.64428,0.37512,0.6398,0.5136,0.47398,0.15409,1.44021,1.29009,1.4204,1.34337,0.0016832,0.0016832,0.0016832
10,1019.13,1.1076,1.56659,1.06079,1.17878,0.75927,0.69478,0.68672,0.415,0.67004,0.56225,0.50912,0.15728,1.42102,1.29555,1.32177,1.32573,0.0016436,0.0016436,0.0016436
11,1118.17,1.08284,1.55296,1.02775,1.15625,0.7508,0.66265,0.70193,0.42822,0.63794,0.53414,0.51808,0.15668,1.3165,1.29943,1.31673,1.29216,0.001604,0.001604,0.001604
12,1216.23,1.06741,1.55166,1.00891,1.15264,0.71557,0.68675,0.69142,0.44406,0.64443,0.61847,0.53628,0.17559,1.28263,1.25967,1.28657,1.27196,0.0015644,0.0015644,0.0015644
13,1315.32,1.06202,1.55043,0.98628,1.15031,0.76299,0.68523,0.71773,0.44637,0.64651,0.58028,0.51904,0.16284,1.34001,1.2844,1.31975,1.31335,0.0015248,0.0015248,0.0015248
14,1412.99,1.03483,1.52323,0.96735,1.13824,0.77225,0.72691,0.73693,0.50079,0.72616,0.59637,0.5647,0.16861,1.23575,1.28021,1.19938,1.19777,0.0014852,0.0014852,0.0014852
15,1510.01,1.01579,1.52233,0.97045,1.13603,0.73989,0.69076,0.72607,0.42725,0.59397,0.55422,0.50735,0.15962,1.37081,1.28387,1.37553,1.28892,0.0014456,0.0014456,0.0014456
16,1607.64,1.01953,1.52142,0.95022,1.13417,0.78151,0.67068,0.74041,0.46825,0.63403,0.61044,0.58468,0.18793,1.26255,1.23884,1.20177,1.22874,0.001406,0.001406,0.001406
17,1705.19,1.01653,1.55657,0.94365,1.13258,0.76291,0.70683,0.7393,0.50925,0.66801,0.62222,0.57366,0.18731,1.17149,1.25347,1.16508,1.17246,0.0013664,0.0013664,0.0013664
18,1803.91,0.9858,1.50919,0.90977,1.11988,0.78467,0.70683,0.76097,0.495,0.64973,0.58233,0.54233,0.17963,1.2078,1.24701,1.21192,1.18206,0.0013268,0.0013268,0.0013268
19,1902.76,0.96723,1.51766,0.90341,1.11187,0.78858,0.72289,0.74002,0.48866,0.68415,0.61446,0.54716,0.16604,1.23871,1.29989,1.15819,1.19075,0.0012872,0.0012872,0.0012872
20,2000.58,0.96646,1.4788,0.90338,1.10738,0.77737,0.70117,0.7492,0.50174,0.66453,0.59665,0.56651,0.18897,1.17781,1.24026,1.12786,1.14024,0.0012476,0.0012476,0.0012476
21,2099.17,0.96917,1.50153,0.89432,1.11569,0.79071,0.69796,0.73132,0.50573,0.67939,0.60241,0.55684,0.18107,1.1524,1.23469,1.15172,1.15364,0.001208,0.001208,0.001208
22,2196.28,0.95388,1.47309,0.87903,1.10097,0.88445,0.71888,0.78565,0.54559,0.77178,0.62651,0.61262,0.20015,1.11109,1.24836,1.02607,1.10891,0.0011684,0.0011684,0.0011684
23,2294.07,0.94401,1.47348,0.86452,1.09932,0.79381,0.70683,0.76671,0.53901,0.69877,0.62249,0.60352,0.18353,1.16439,1.23243,1.10945,1.14629,0.0011288,0.0011288,0.0011288
24,2393.17,0.93676,1.46358,0.86991,1.1023,0.82145,0.73907,0.78087,0.53689,0.70093,0.63064,0.58901,0.18273,1.10679,1.25748,1.05166,1.15629,0.0010892,0.0010892,0.0010892
25,2491.62,0.95023,1.47745,0.86474,1.09926,0.79217,0.72289,0.76461,0.52376,0.67809,0.61847,0.57795,0.18658,1.18419,1.23883,1.10144,1.15352,0.0010496,0.0010496,0.0010496
26,2590.83,0.9333,1.49336,0.85564,1.09285,0.78098,0.71888,0.7647,0.55344,0.70574,0.63454,0.63321,0.20238,1.05485,1.23551,1.04751,1.07871,0.00101,0.00101,0.00101
27,2689.72,0.92388,1.47567,0.84623,1.09657,0.8344,0.688,0.7677,0.56941,0.75142,0.61914,0.6225,0.20624,1.0568,1.23416,1.01575,1.08669,0.0009704,0.0009704,0.0009704
28,2788.33,0.91214,1.46998,0.83128,1.08803,0.84536,0.70252,0.7542,0.52018,0.76513,0.6149,0.61882,0.20197,1.14109,1.22247,1.11458,1.09452,0.0009308,0.0009308,0.0009308
29,2887.53,0.91128,1.46426,0.83163,1.08122,0.8286,0.73896,0.77601,0.56861,0.72718,0.63855,0.63757,0.20044,1.04078,1.22466,1.03332,1.07943,0.0008912,0.0008912,0.0008912
30,2985.97,0.9088,1.47449,0.83643,1.07479,0.84849,0.72289,0.77991,0.57593,0.75645,0.63454,0.62505,0.20899,1.01328,1.23034,0.99112,1.06175,0.0008516,0.0008516,0.0008516
31,3085.21,0.89945,1.44461,0.80149,1.08487,0.80398,0.73494,0.78868,0.54728,0.7008,0.63052,0.63281,0.19592,1.0744,1.21885,1.04771,1.13645,0.000812,0.000812,0.000812
32,3183.85,0.90261,1.46582,0.80306,1.08379,0.86246,0.73092,0.79019,0.54742,0.73818,0.60014,0.6224,0.20945,1.07752,1.19523,1.01314,1.13073,0.0007724,0.0007724,0.0007724
33,3283.32,0.8799,1.44448,0.80328,1.07649,0.87034,0.69478,0.79015,0.56137,0.72731,0.64659,0.65923,0.20941,1.08601,1.24795,1.02091,1.13988,0.0007328,0.0007328,0.0007328
34,3382.24,0.87911,1.43798,0.78626,1.07457,0.80201,0.74835,0.79007,0.57473,0.74851,0.60643,0.62182,0.21193,1.06877,1.26028,0.99904,1.07325,0.0006932,0.0006932,0.0006932
35,3479.39,0.86655,1.42514,0.78737,1.0658,0.84635,0.71486,0.80563,0.5987,0.75829,0.61847,0.66216,0.22368,0.98725,1.22427,0.98919,1.05899,0.0006536,0.0006536,0.0006536
36,3577.18,0.85806,1.43777,0.76686,1.06372,0.85645,0.69489,0.78712,0.57439,0.75785,0.61044,0.65164,0.21376,0.99358,1.19415,1.00177,1.0657,0.000614,0.000614,0.000614
37,3674.7,0.85826,1.4382,0.76573,1.06249,0.79702,0.77108,0.81413,0.58296,0.67249,0.6506,0.62287,0.21414,1.02478,1.23937,0.99132,1.0805,0.0005744,0.0005744,0.0005744
38,3773.99,0.85077,1.43763,0.75157,1.05534,0.83552,0.7344,0.79532,0.58801,0.74929,0.64257,0.66049,0.22698,1.00209,1.19501,0.96791,1.04726,0.0005348,0.0005348,0.0005348
39,3873.07,0.85678,1.42177,0.76901,1.0593,0.85665,0.72,0.79974,0.59963,0.74751,0.64257,0.64261,0.21686,1.00702,1.20963,0.96698,1.0639,0.0004952,0.0004952,0.0004952
40,3972.24,0.83159,1.40978,0.73416,1.04871,0.84378,0.70683,0.77178,0.59363,0.76653,0.61044,0.63889,0.21268,0.96962,1.2,0.96351,1.02346,0.0004556,0.0004556,0.0004556
41,4067.41,0.77844,1.08348,0.78973,1.13651,0.87539,0.70531,0.81185,0.60361,0.7879,0.64151,0.67596,0.23092,0.94115,1.20442,0.92411,1.02567,0.000416,0.000416,0.000416
42,4158.85,0.76137,1.06856,0.74889,1.13208,0.85495,0.73494,0.79578,0.59514,0.78527,0.63155,0.6504,0.2138,0.95669,1.2085,0.94444,1.01277,0.0003764,0.0003764,0.0003764
43,4250.54,0.73856,1.05875,0.73668,1.11423,0.80604,0.74297,0.78693,0.60288,0.79464,0.60606,0.65675,0.22307,0.95482,1.22395,0.95027,1.01655,0.0003368,0.0003368,0.0003368
44,4341.69,0.73015,1.05447,0.7225,1.10759,0.84023,0.75904,0.81866,0.6224,0.76561,0.60241,0.64553,0.21958,0.93162,1.23265,0.92228,0.99428,0.0002972,0.0002972,0.0002972
45,4431.26,0.72345,1.05454,0.71061,1.11135,0.79616,0.73726,0.78567,0.60483,0.76288,0.61847,0.64159,0.21928,0.97786,1.24453,0.9393,1.03478,0.0002576,0.0002576,0.0002576
46,4520.38,0.71154,1.04824,0.69487,1.09703,0.82706,0.74904,0.80958,0.61968,0.74375,0.6411,0.66933,0.22629,0.94971,1.20919,0.92708,1.00845,0.000218,0.000218,0.000218
47,4611.25,0.69706,1.04589,0.68529,1.09358,0.86277,0.73092,0.79673,0.63025,0.76508,0.64659,0.65819,0.23143,0.91543,1.20998,0.89346,1.00765,0.0001784,0.0001784,0.0001784
48,4701.26,0.68125,1.04471,0.6734,1.0763,0.85553,0.70281,0.79587,0.61801,0.76491,0.62249,0.64366,0.22453,0.92345,1.23442,0.90748,0.99504,0.0001388,0.0001388,0.0001388
49,4790.53,0.67241,1.03079,0.66018,1.07086,0.8257,0.74199,0.80492,0.61841,0.79776,0.63369,0.68124,0.23093,0.9277,1.21989,0.89177,1.0001,9.92e-05,9.92e-05,9.92e-05
50,4880.16,0.67988,1.03051,0.65688,1.08575,0.88824,0.70224,0.80537,0.62412,0.80241,0.61976,0.6682,0.23045,0.92842,1.22636,0.88203,1.00878,5.96e-05,5.96e-05,5.96e-05
